load_demand_kwh,transformer_load_percent,hour_of_day,temperature_c,humidity_percent,renewable_contribution_percent,frequency_hz,season_code
62.43561663863075,59.25664644193098,6,37.395263533634214,63.41650929669068,17.33483914534307,50.002567072487025,0
143.10000289738826,77.0950473689179,2,34.6099272191758,78.67763709324436,9.236223758231022,49.96866019383915,1
112.47915185359672,93.64729179382041,22,32.95426342125843,46.17004076027982,14.316002382538839,49.96571412654646,0
93.81218778758512,86.61124432047805,13,35.92481191125709,71.31611758280975,23.79189085111968,50.020451260475454,2
31.84260966194111,90.32805739307248,23,35.08046069856765,53.92353644637762,29.437247923663865,49.964464964893885,1
31.83923284706837,82.93916833553587,9,20.718773498431066,82.64909976652957,27.974667707694056,50.05537874964097,0
18.131705703547922,84.61382822589263,15,27.894687076896563,86.41917528181537,28.015978285387465,49.914158287202234,0
131.26466040849093,92.45978257826596,15,38.616145946329794,89.81991468395277,12.066712045413372,50.03207765047917,2
94.15610164404923,62.483400442959294,21,22.514485379844523,79.80037012136417,14.063696415203728,50.06183896073135,0
109.13016089144637,74.47124818215703,9,34.741931008641025,77.68670352140023,21.169061891069447,50.03456633798409,2
12.881829201412343,61.06047209098011,12,39.491836226706596,50.775037943377555,27.66575784153853,49.999445839004,1
145.7873793026792,99.38340039983234,5,21.043972580899432,56.80035294950544,4.2598277805625395,50.09006140274724,1
126.54196971205904,97.20296698433066,11,33.64387761253221,63.284127088113976,9.127255914815873,49.95998769795961,0
39.72747549495866,51.9713405684253,8,29.36308282602061,78.6690523891125,4.177405337823286,49.903833577505,1
35.45549540899408,85.27875862578442,12,31.583505107494442,85.74829325389842,18.36025589878366,49.986397874292685,1
35.67663137948074,96.26241587078329,3,21.706826729686497,49.45695500114923,9.189029906626127,49.906602387180065,0
52.59391401433528,59.02876725636668,23,20.86013903733879,86.11837423350514,9.783235575377203,50.09078735050528,1
83.4659004285133,78.39726152763147,10,33.33733321101843,74.7812326177029,2.1274787846393775,49.94198360914961,0
70.4723026098962,95.77441487940209,19,36.466188596414355,70.53853653425193,10.493881854227759,50.057785404789776,2
50.772079627725866,51.69729892928994,17,35.640306698659344,49.99206356409697,25.87489522204756,50.05491441663487,2
95.65940526113313,84.871013362342,10,30.876114557324748,42.77625164045753,6.992184356725049,49.943545779936585,2
29.529140491285858,64.86745036862754,20,21.997336422723563,68.423244925397,20.85562398630197,50.024245306096034,0
50.90025079493054,96.21980976882652,3,33.76088887672027,72.57578416644462,18.88885034815778,49.90961579369729,0
61.29065806111684,98.55291225826838,17,24.837777671082918,50.539072467734414,25.90453825107346,49.99671491714077,1
73.84979779038503,97.2133244556717,0,38.221374055347674,67.82281029127282,3.968638429531147,49.902929425454495,1
119.9246345950219,73.71071083287319,6,36.7653071909141,82.82467013812868,29.327698810351297,50.08422877603617,1
37.95432950217037,93.10213254946567,5,34.18765934174782,81.753297272751,17.478859381210967,50.09521720483992,1
81.99282137790563,92.22746992675351,14,38.97691911662261,86.36775902931487,29.86422457040443,49.94445655332772,1
92.93803964068594,65.95502366216279,17,20.62843643022546,58.29429047784402,27.345441775975523,49.94162120691927,0
16.50305778079968,91.44577370753387,23,34.72400850121524,55.90247862754593,6.645518163393174,50.05074403531243,0
95.05627926620137,51.85038173577463,10,26.604855586728107,77.47130029904044,1.6848602970993931,49.95067587976587,2
33.87337731622081,79.81349392410266,19,38.12131771372731,61.555620254850254,7.669172813860846,50.07901531183237,2
